hashtag,text,comp,pos,neg,neutral
bjp,@thekiranbedi true mam..personal survival is not above nation. This might be a reason AAP resigned in just 49 days? #AAPforNation #AAP #BJP
bjp,"RT @Rajendra_twi: @BSharma7   अंत की शुरुवात हो चुकी है... जो लोग आज भी #AAP के साथ हैं आज नहीं तो कल उनको भी अकाल आ जाएगी...
#Namo #BJP #M…"
bjp,"@BSharma7   अंत की शुरुवात हो चुकी है... जो लोग आज भी #AAP के साथ हैं आज नहीं तो कल उनको भी अकाल आ जाएगी...
#Namo #BJP #ModiKiAdalat"
bjp,"RT @iamrajukumar: EC raids BJP candidate Sriramulu's aides house, recovers Rs 45 crore ~ http://t.co/4XWdPP8xAb #AAPpositive #modi #bjp #fe…"
bjp,"RT @rajamama: @sensex7500 @KhoslaVimal #AbKiBaarModiSarkaar #GharGharModi #BJP 
टूटी साइकिल टूटा हाथ देश का मुस्लिम मोदी जी के साथ http://t…"
bjp,"RT @NavbharatTimes: अरविंद केजरीवाल ने आरोप लगाया है कि बीजेपी मीडिया को धमकी दे रही है। पढ़ें खबर... http://t.co/fjmPcENkWs
#aap #bjp"
bjp,Seems like #BJP &amp; #Modi have already created #Emplyment by asking people to call and make them a #BJP Kariyakarta. I must say good marketing
bjp,"परख और बारू की किताबों के पीछॆ मोदी का हाथ: दिग्विजय
#news #palpalnews #congress #bjp #pcparekh #sanjaybaru #book... http://t.co/pB19SvrsXW"
bjp,RT @MnshaP: #BJP candidate #HemaMalini has the air of an actress who's signed up for a film without reading the script: http://t.co/yD5HFDh…
bjp,"#BJP dancing to the tune of parochial and extremist #RSS : #SoniaGandhi in #Rajasthan 
 http://t.co/DLhrNVpQcQ"
bjp,Just got a call from #BJP asking me if am supporting #Modi or no and asking for my details.. he finally asked do you want to join #BJP haha
bjp,"RT @Pressbrief: #BJP talks about women empowerment but their phones are being tapped in Gujarat, this is Gujarat Model : #RGinLatur"
bjp,Was #NaMo taking oath for the first time in his political Career? What about his previous Oaths? #Jashodaben #BJP
bjp,Lakshmi Kamal par aati hai #BJP aur 'Chudail' #AAP JHAADU par aati hai.... Zara soch kar Vote dena!!!
bjp,"RT @Rajendra_twi: सारे सेकुलरों को मालूम होना चाहिए हम तकनीकी समय में रह रहे हैं.... 
अब कुछ भी छिपाना संभव नहीं.
#Namo #BJP #WeWantModi #A…"
bjp,"RT @RanuVerma89: नहीं चाहता था कि #BJP से गठबंधन टूटे: शरद यादव (JDU)
Nitish ko apni aukat pata chal jayegi on 16th May. Wat a blunder he h…"
bjp,RT @PandeyJaideep: #BJP PM nominee #NarendraModi addressing a rally in Laxmangarh (Sikar) @BJPLucknowBJP @India272 #ModiKiAdalat http://t.c…
bjp,"https://t.co/rWrigFKLis
Muthalik admits his connections with #Bjp?One more ques  is will dey admit him after electioon or not?
#AAPpositive"
bjp,"कॉंग्रेस शेतकरी, महिलांच्या पाठीशी- राहुल गांधी http://t.co/xCxTaxzhIf #rahulgandhi #congress #bjp #politics #loksabha2014 #maharashtra"
bjp,"RT @Rajendra_twi: सारे सेकुलरों को मालूम होना चाहिए हम तकनीकी समय में रह रहे हैं.... 
अब कुछ भी छिपाना संभव नहीं.
#Namo #BJP #WeWantModi #A…"
bjp,"RT @SamraatD: #BJP works for industrialists, this is the reason they are good in marketing #SoniaGandhi4India"
bjp,"RT @SamraatD: #BJP works for industrialists, this is the reason they are good in marketing #SoniaGandhi4India"
bjp,RT @Rajender_Shimla: Biggest hawala rackets running in #Surat under #Modi &amp; #BJP nose http://t.co/Bv7V6aXma6 @rachitseth @Vishesh4 @priyank…
bjp,RT @ur_digvijay: Akali-#BJP Corruption in Punjab.CM Badal says that No #Lokpal can eradicate corruption 4om country.http://t.co/iwRjdzc5zl …
bjp,"RT @Rajender_Shimla: रामदेव की 'हरकत' से मोदी और संघी मित्रों के मिशन को झटका ! #ramdev का बयान, #BJP के लिए भारी..   #PanjaForPunjab http:…"
bjp,"RT @Rajender_Shimla: रामदेव की 'हरकत' से मोदी और संघी मित्रों के मिशन को झटका ! #ramdev का बयान, #BJP के लिए भारी..   #PanjaForPunjab http:…"
bjp,Akali-#BJP Corruption in Punjab.CM Badal says that No #Lokpal can eradicate corruption 4om country.http://t.co/iwRjdzc5zl …  #PanjaForPunjab
bjp,"@pavanshimla Shri Narendra Modi ji will address a public meeting in Solan on 29 April at 12 noon at Thodo Ground Solan.#BJP"
bjp,"http://t.co/m2pgUjH65y Family Feuds of Indian Politics 
#DamaadGate #ivote #AAP #BJP #Congress #AAPWave #ModiWave #bjpmanifesto"
bjp,RT @Rajender_Shimla: Why doesn''t the #BJP take any action against corrupt ministers of it''s government in #Punjab? http://t.co/sqQfJf2f3D…
bjp,RT @Rajender_Shimla: Why doesn''t the #BJP take any action against corrupt ministers of it''s government in #Punjab? http://t.co/sqQfJf2f3D…
bjp,"RT @realVishaL: haha TRUE ... 
#BJP 
#AbKiBaarModiSarkaar 
@upma23 @IamImpossible_ @MumbaikiGirl @ZindegiROCKZ 
http://t.co/OKwfUKrw3P"
bjp,"Empty Economics. Indian_Elections,#elections2014, #IndianElections014, #congress,#BJP, #AAP,  http://t.co/peUJV62vGl"
bjp,Vadra expose by #BJP is a farce. Even they know it very well. Filing FIRs could have helped their cause. Expose already done in Oct'12 by AK
bjp,"RT @IM_JavedKhan: MMS's brother joins #BJP.
Gandhi, Shastri, BagatSingh, RajenderPrasad, MilkhaSingh and AbulKalamAzad family joins #AAP.
#…"
bjp,RT @Rajender_Shimla: Biggest hawala rackets running in #Surat under #Modi &amp; #BJP nose http://t.co/Bv7V6aXma6 @rachitseth @Vishesh4 @priyank…
bjp,"Zehar hi zehar ko katata hai. 
true 4 #BJP 
true 4 #Congress"
bjp,RT @timesofindia: VIDEO: @NarendraModi's journey from #RSS pracharak to #BJP's PM nominee http://t.co/1lwLZRLAgO http://t.co/S6HnE0GIlH
bjp,RT @Rajender_Shimla: Biggest hawala rackets running in #Surat under #Modi &amp; #BJP nose http://t.co/Bv7V6aXma6 @rachitseth @Vishesh4 @priyank…
bjp,"RT @Rajender_Shimla: रामदेव की 'हरकत' से मोदी और संघी मित्रों के मिशन को झटका ! #ramdev का बयान, #BJP के लिए भारी..   #PanjaForPunjab http:…"
bjp,RT @AMuskeeter: Akali-#BJP Corruption in #Punjab.CM Badal says that No #Lokpal can eradicte corruption frm country.http://t.co/a5LK7pSKqX ……
bjp,RT @AMuskeeter: Akali-#BJP Corruption in #Punjab.CM Badal says that No #Lokpal can eradicte corruption frm country.http://t.co/a5LK7pSKqX ……
bjp,"Shri Narendra Modi to speak at various rallies across India, from 25th April to 30th Apr...  #BJP #NaMo
#TsuNaMo"
bjp,RT @timesofindia: VIDEO: @NarendraModi's journey from #RSS pracharak to #BJP's PM nominee http://t.co/1lwLZRLAgO http://t.co/S6HnE0GIlH
bjp,"RT @Rajender_Shimla: रामदेव की 'हरकत' से मोदी और संघी मित्रों के मिशन को झटका ! #ramdev का बयान, #BJP के लिए भारी..   #PanjaForPunjab http:…"
bjp,What us the debt/GDP growth of Gujarat? #BJP.
bjp,RT @Rajender_Shimla: Why doesn''t the #BJP take any action against corrupt ministers of it''s government in #Punjab? http://t.co/sqQfJf2f3D…
