hashtags,tweets,neg,neu,pos,compound
bjp,RT ReshmaLalwani6 एक रोचक आंकड़ा 1967 इंदिरा कांग्रेस 283 विपक्ष राजगोपालाचारी की स्वतंत्रता पार्टी 44 1971 इंदिरा कांग्रेस 35…,0.0,1.0,0.0,0.0
bjp,RT RohithManohar மோடிக்கு வாக்களிப்போரின் மனநிலை BJP ADMK PMK DMDK httpstcoCq9l8yBUzf,0.0,1.0,0.0,0.0
bjp,RT satishgautam72 PM श्री narendramodi जी की कार्यशैली से प्रसन्न है देश की जनता। Aligarh4NaMo MeraBoothSabseMazboot Aligarh BJP h…,0.0,1.0,0.0,0.0
bjp,RT iankushchoubey 😂😂😂 ठक्कन 😂 😂😂 जो समझ गए वो लाइक और रिट्वीट करे और जो नहीं समझे वो जाकर Pogo या Cartoon Network देखें 🤣क्योंकि बेटा तुम…,0.053,0.84,0.106,0.4404
bjp,भाजपा के लिए राहत की बात नया घोषणापत्र बनाने की जरूरत नही 2014 वाला ही चल जायेगा क्योंकि उसमें लिखा कोई काम तो किया ही नहीं BJP,0.0,1.0,0.0,0.0
bjp,Pappu Blaberring mode😝🤭🤭 Well done Girl u grilled Pappu BestModiSpeech BJP GoBackPappu GoBackRahul… httpstco4sd6kOd2Nt,0.0,0.851,0.149,0.2732
bjp,LambaAlka go BJP really want away bids character assassination,0.312,0.56,0.128,-0.5118
bjp,RT JagranNews चांदनी चौक से चुनाव लड़ सकते हैं एक्टर अक्षय कुमार राजनीतिक गलियारों में चर्चा तेज httpstcorHXQzb4FtL ChandaniChow…,0.0,1.0,0.0,0.0
bjp,RT RishiAmbedkar जोरकाझटकाजबरदस्त तरीके से अमेठी और रायबरेली भी खो दिए एक तरफ कांग्रेस गठबंधन की मांगकरती हैदूसरी तरफ BhimArmyChief…,0.0,1.0,0.0,0.0
bjp,RT Son0fPakistan careful travelling India U could either killed False Flag operation extremist hindus sexually…,0.249,0.663,0.088,-0.5994
bjp,India Indians ‘hurt’ Chinese conduct UNSC says BJP Prasad flays Rahul India Indians hurt Chinese… httpstcoSKKNYYeZHT,0.185,0.815,0.0,-0.5267
bjp,MyloMegha Join BJP,0.0,0.476,0.524,0.296
bjp,RT Son0fPakistan Explains Gambhir’s anti Pakistan tirade wanted BJP ticket 2 run elections Disgusting ppl capita…,0.305,0.695,0.0,-0.6908
bjp,RT PandittripathiM हमारा समर्थन उसे जिसके नाम में भारत पहले जनता दूसरे और “ पार्टी तीसरे नंबर पर आती है और देश की जनता…,0.0,1.0,0.0,0.0
bjp,RT MaaniKhan یہ پردہ ہٹالو۔۔ذرا مکھڑا دکھادو 😂😜 rally hiding faces Bharatiya Janata Partys BJP supporters party con…,0.096,0.658,0.246,0.5267
bjp,Explains Gambhir’s anti Pakistan tirade wanted BJP ticket 2 run elections Disgusting ppl c… httpstcoj4mtGBFDRl,0.322,0.678,0.0,-0.6908
bjp,ടോം വടക്കന്‍ പാര്‍ട്ടി വിട്ടു കേക്ക് മുറിച്ച് ആഘോഷിച്ച് യൂത്ത് കോണ്‍ഗ്രസ് BJP tomvadakkanAICC httpstcoVHZQMEdG30,0.0,1.0,0.0,0.0
bjp,RT legooIce Brother BJP ka naam lena bhool gaye aap shayad BJPभगाओदेशबचाओ httpstco3r8KpXH0t4,0.0,1.0,0.0,0.0
bjp,RT dagonsin9 Kamal ko keechad Tom Vadakkan mil Gaya TomVadakkan BJP NamumkinAbMumkinHai LokSabhaElections2019 httpstcoIDEfdb1…,0.0,1.0,0.0,0.0
bjp,RT TheLallantop यूपी और बिहार पिछड़े वोटों को जोड़ने के लिए क्या कर रही है भाजपा बीजेपी समझ गई है कि बिना पिछड़ा वर्ग को साधे लोकसभा…,0.0,1.0,0.0,0.0
